Dataset,Strain,strain_index,Day,max_difference,"('Composite', 'IMMAGE')","('Composite', 'Age')","('Composite', 'Multivariate')",html_path
GSE59743.SDY400,B_Wisonsin_01_2010,1,AdjMFC,0.32,0.93,0.61,0.90,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59743.SDY400_B_Wisonsin_01_2010_AdjMFC_discard_seroprotected.html"", ""Link"")"
GSE41080.SDY212,B_Florida_4_2006,0,AdjMFC,0.25,0.77,0.52,0.53,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE41080.SDY212_B_Florida_4_2006_AdjMFC_discard_seroprotected.html"", ""Link"")"
GSE169159,WT_SARS-CoV-2,0,AdjMFC,0.25,0.70,0.45,0.63,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE169159_WT_SARS-CoV-2_AdjMFC_discard_seroprotected.html"", ""Link"")"
GSE52245.SDY1260,IgG_serotype_A,4,AdjMFC,0.23,0.45,0.49,0.72,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE52245.SDY1260_IgG_serotype_A_AdjMFC_discard_seroprotected.html"", ""Link"")"
GSE52245.SDY1260,IgG1_serotype_A,6,AdjMFC,0.23,0.66,0.43,0.57,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE52245.SDY1260_IgG1_serotype_A_AdjMFC_discard_seroprotected.html"", ""Link"")"
GSE59635.SDY63,B_Brisbane_60_2008,1,AdjMFC,0.22,0.75,0.53,0.62,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_B_Brisbane_60_2008_AdjMFC_discard_seroprotected.html"", ""Link"")"
GSE48023.SDY1276,A_Brisbane_10_2007,1,AdjMFC,0.16,0.55,0.39,0.51,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE48023.SDY1276_A_Brisbane_10_2007_AdjMFC_discard_seroprotected.html"", ""Link"")"
GSE52245.SDY1260,IgG2_serotype_A,7,AdjMFC,0.13,0.41,0.41,0.54,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE52245.SDY1260_IgG2_serotype_A_AdjMFC_discard_seroprotected.html"", ""Link"")"
GSE59635.SDY63,A_Perth_16_2009,0,AdjMFC,0.11,0.83,0.80,0.91,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_A_Perth_16_2009_AdjMFC_discard_seroprotected.html"", ""Link"")"
GSE48018.SDY1276,A_Brisbane_10_2007,1,AdjMFC,0.11,0.49,0.38,0.38,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE48018.SDY1276_A_Brisbane_10_2007_AdjMFC_discard_seroprotected.html"", ""Link"")"
